City,Temperature (°C),Humidity (%),Conditions,Wind Speed (m/s),Timestamp
Hyderabad,21.0,76,Clear,2.29,11/07/2025, 12:13:51 AM GMT+5:30
Hyderabad,21.0,76,Clear,2.29,11/07/2025, 12:14:31 AM GMT+5:30
Bengaluru,21.2,88,Clouds,2.24,11/07/2025, 12:16:11 AM GMT+5:30
Mysore,18.5,83,Clouds,1.14,11/07/2025, 12:16:11 AM GMT+5:30
Mandya,19.9,76,Clouds,1.58,11/07/2025, 12:16:11 AM GMT+5:30
Bengaluru,21.2,88,Clouds,2.24,11/07/2025, 12:25:06 AM GMT+5:30
Mysore,18.5,83,Clouds,1.14,11/07/2025, 12:25:06 AM GMT+5:30
Mandya,19.9,76,Clouds,1.58,11/07/2025, 12:25:06 AM GMT+5:30
Bengaluru,23.2,82,Mist,4.02,11/07/2025, 08:41:08 AM GMT+5:30
Mysore,21.8,74,Clouds,1.57,11/07/2025, 08:41:08 AM GMT+5:30
Mandya,22.7,74,Clouds,1.56,11/07/2025, 08:41:08 AM GMT+5:30
Bengaluru,24.8,73,Clouds,4.47,11/07/2025, 10:24:21 AM GMT+5:30
Mysore,27.0,65,Clouds,1.54,11/07/2025, 10:24:21 AM GMT+5:30
Mandya,25.6,68,Clouds,2.29,11/07/2025, 10:24:22 AM GMT+5:30
Bengaluru,27.0,56,Clouds,8.94,11/08/2025, 02:07:04 PM GMT+5:30
Mysore,28.0,57,Clouds,1.54,11/08/2025, 02:07:04 PM GMT+5:30
Mandya,27.6,51,Clouds,2.22,11/08/2025, 02:07:04 PM GMT+5:30
Bengaluru,24.9,58,Clouds,2.06,11/08/2025, 05:48:43 PM GMT+5:30
Mysore,26.0,65,Clouds,1.54,11/08/2025, 05:48:43 PM GMT+5:30
Mandya,23.8,68,Clouds,1.52,11/08/2025, 05:48:43 PM GMT+5:30
Bengaluru,24.9,59,Clouds,7.15,11/08/2025, 06:04:46 PM GMT+5:30
Mysore,26.0,65,Clouds,1.54,11/08/2025, 06:04:46 PM GMT+5:30
Mandya,23.6,64,Clouds,1.88,11/08/2025, 06:04:46 PM GMT+5:30
Chennai,28.1,83,Mist,4.92,11/08/2025, 08:51:47 PM GMT+5:30
Hyderabad,22.2,60,Haze,2.57,11/08/2025, 08:51:47 PM GMT+5:30
